artist_name,biography,listeners,playcount,similar_artist
Mop Mop,"Mop Mop
""...a bastard performance of modern jazz based on riffs looped almost till monotony..."" But Mop Mop is also exotic rhythm, Italian melody, and improvisation. Sounds like Nicola Conte, Gerardo Frisina, The Five Corners Quintet.

Andrea Benini (born March 14, 1977),  aka Mop Mop, is a musician, music producer, and composer from Cesena, Italy. He has worked in jazz, funk and club music. In 2005, his main project became Mop Mop, a funk/afro/jazz combo.  As of 2013, Benini is living and producing new works in Berlin. 
 https://www.last.fm/music/Mop+Mop",100199,898072,The Bahama Soul Club
Zouzoulectric,"Studio/Band project with singer/songwriter Nelly Simon and Jürgen Kausemann, producer, musician, and one of the founders of Chinchin records. The jazz singer and studied drama teacher Nelly Simon (who also performs with ""Club des Belugas"" pianist Roman Babik), fell in love with swing dance and jazz music when she was very young. Jürgen Kausemann and Nelly Simon met for the first time in 2013 when he saw her performing in concert with her band “choo choo panini”.
 https://www.last.fm/music/Zouzoulectric",6042,33248,Jive Me
TheFatRat,"Christian Friedrich Johannes Büttner (born 1 June 1979), known professionally as TheFatRat, is a German DJ, record producer and musician. His style of music can be described as either glitch-hop or dubstep. He is best known for his 2016 extended play Jackpot which reached 23 on the Billboard Dance/Electronic Albums chart. He peaked at 15 on Billboard's Next Big Sound chart in February 2015.

He began making solo music under the pseudonym TheFatRat in June of 2011, a nickname given to him in his youth. https://www.last.fm/music/TheFatRat",543548,12556699,Jim Yosef
Whilk & Misky,"Whilk & Misky was a British musical duo consisting of Nima Khaste and Charlie Dickens. The duo was known for its eclectic and genre-blending approach to music, combining elements of folk, electronic, indie, and soul in their sound. While the duo was relatively short-lived, they gained recognition for their unique style and released several notable songs.

Here are some key points about Whilk & Misky:

1. Formation: Whilk & Misky was formed in London, England, with Nima Khaste and Charlie Dickens as the core members. https://www.last.fm/music/Whilk+&+Misky",142363,1040430,Yoav
Tritonal,"After only three short years of united production, progressive trance duo Tritonal has become one of the top names to watch in the international electronic dance music scene. Currently standing at #83 on DJ Mag’s Top 100 DJs List, Tritonal has seen track after track fly up the Beatport charts and land in the sets of some of the most renowned and respected DJs in the world. In 2011, Tritonal shows no signs of slowing down—even after a whirlwind, worldwide tour to promote their debut artist album, ""Piercing the Quiet.” https://www.last.fm/music/Tritonal",435176,6799150,Audien
La Yegros,"Buenos Aires, Argentina

La Yegros resides in the pulsing heart of cosmopolitan Buenos Aires, but her family hails from the tropical climates found in the rural rain forests of the north, bordering Brazil. She received classical, conservatory training in music and got her break when she played before thousands as part of the De La Guarda experimental theatre.

Confident and vibrant in approach, she’s been championed by MTV Iggy, as well as by Fader Magazine https://www.last.fm/music/La+Yegros",54572,500849,El Gato Negro
Soulwax,"Soulwax, headed by David and Stephen Dewaele, is an electronic and alternative band hailing from Ghent, Belgium with traces as early as 1992. Though the Dewaele Brothers have created several major albums under this moniker, they are perhaps best-known for their influential contributions to the bastard pop genre under the name Fucking Dewaele Brothers and 2 Many DJ's.  and the landmark record As Heard On Radio Soulwax, Pt. 2. They are the main act of any Radio Soulwax event.  https://www.last.fm/music/Soulwax",669235,12253891,Simian Mobile Disco
Christian Löffler,"German producer and artist, Christian Löffler, has secured a unique and esteemed position in the electronic music scene, by conjuring the forces of nature in his melodic strain of techno and immersive live performances. He combines euphoria with introspection, creating an emotive, minimalist sound that delights audiences wherever he plays, and it would be hard to find a country in which he hasn’t performed in the past few years. Christian Löffler has graced the stages of sold-out concert halls and headlined festivals around the world https://www.last.fm/music/Christian+L%C3%B6ffler",329534,6615440,Parra for Cuva
Romare,"Romare is the alias of electronic producer and DJ Archie Fairhurst. Romare began mixing his own music with samples from second hand records after picking up a pair of turntables. Having studied African American Visual Culture at University. Romare Bearden's cut'n'paste artworks inspired Fairhurt to apply a similar technique to music. ""I liked the way Bearden created original, aesthetically appealing work through a mixture of his own drawing and painting, with existing media, like cut-outs of old photographs or record sleeves,” Archie says. https://www.last.fm/music/Romare",313835,3870448,Daphni
Cappella,"Cappella, an iconic Italian Eurodance group, was established in 1987 by producer Gianfranco Bortolotti. Their most notable hit, “U Got 2 Let the Music,” soared to No. 2 on the UK Singles Chart in 1993. Renowned as one of the biggest dance acts in Europe, CAPPELLA achieved massive success with 9 Top Ten hits and 3 No.1 hits, including the iconic tracks ‘MOVE ON BABY’ and ‘U & ME.’

The original producer and creator of CAPPELLA, Gianfranco Bortolotti of Media Records, has partnered with Lis Birks to relaunch CAPPELLA. https://www.last.fm/music/Cappella",174377,1154284,2 Unlimited
Charli xcx,"Charlotte Emma Aitchison, known professionally as Charli XCX, is an English singer and songwriter. Born in Cambridge and raised in Start Hill, Essex, she began posting songs on MySpace in 2008, which led to her discovery by a promoter who invited her to perform at warehouse raves and parties. In 2010, she signed a recording contract with Asylum Records, releasing a series of singles and mixtapes throughout 2011 and 2012.

In 2012, Charli rose to prominence with the Icona Pop collaboration ""I Love It"" https://www.last.fm/music/Charli+xcx",3548941,644656692,Sophie
GFOTY,"Polly-Louisa Salmon (born 1990) is a British pop singer known by her stage name GFOTY, an abbreviation of Girlfriend of the Year. From 2014-2018 she has released music through the PC Music label. She made her independent debut in 2018 with the release of her single Boy Next Door. Much of her best-known work has been in the form of mini-mixes.
 https://www.last.fm/music/GFOTY",196602,5459791,Lipgloss Twins
Oxia,"Oxia should be no stranger to techno fans. Behind his fancy pseudonym we find one Olivier Raymond from Grenoble, France. Deejaying from the tender age of 15, Oxia has been consistently churning out productions under several guises - with Stephane Deschezeaux or the Hacker with whom he runs the Goodlife label. https://www.last.fm/music/Oxia",214972,1278908,Boris Brejcha
The xx,"The xx are an English alternative rock band from Wandsworth, London, formed in 2005. The band consists of  Romy Madley Croft (guitar, vocals), Oliver Sim (bass guitar, vocals), Jamie Smith, also known as Jamie xx (beats, MPC, record production), and formerly Baria Qureshi (keyboard, guitar). The band is known for the distinct and minimalist sound that blends indie rock, indie electronic, indie pop, dream pop and electro-rock and the dual vocalist setup of both Madley Croft and Sim. https://www.last.fm/music/The+xx",2703194,185550183,Oliver Sim
Lost Sky,Lost Sky is the alias of Croatian EDM producer Antun Dugandžić. He was formerly known as TULE. https://www.last.fm/music/Lost+Sky,212633,3087711,Unknown Brain
Gianluca Vacchi,"Gianluca Vacchi is an italian multimillionaire, Instagram celebrity, former business man, and Dj from Bologna. He graduated in Economics and Business.
In 2013, at the age of 46, he opened an Instagram account and as of late has 15 million followers. https://www.last.fm/music/Gianluca+Vacchi",44498,218112,Jude & Frank
Dj Dasten,https://www.last.fm/music/Dj+Dasten,7762,33224,4ndy
Tom Tyger,https://www.last.fm/music/Tom+Tyger,14509,50668,Mathias D.
Bruno Martini,"Bruno Dalla Martha Martini (São Paulo, 1 October 1992), known as Bruno Martini, is a Brazilian musician, singer, songwriter, producer, actor and DJ. https://www.last.fm/music/Bruno+Martini",182761,1739066,dubdogz
Suga7,https://www.last.fm/music/Suga7,5335,34318,Huda Hudia
Jamiroquai,"Jamiroquai is an English funk and acid jazz band from London. Formed in 1992, they are fronted by vocalist Jay Kay, and were prominent in the London-based funk and acid jazz movement of the 1990s. They built on their acid jazz sound in their early releases and later drew from rock, disco, electronic and Latin music genres. Lyrically, the group has addressed social and environmental justice. Kay has remained as the only original member through several line-up changes. https://www.last.fm/music/Jamiroquai",2733248,97352454,The Brand New Heavies
Fisher,"There are 4 artists called Fisher:

1) Paul Fisher aka Fisher (OZ) is a producer 

2) Fisher (Kathy Fisher and Ron Wasserman) from USA 

3) Fisher, a Pop Rock Band from Switzerland headed by Emilie Welti/Sophie Hunger.  Eddie Fisher

4) Fisher, A rapper from Antwerp, Belgium https://www.last.fm/music/Fisher",732621,12771161,Dom Dolla
Vitalic,"Vitalic (born as Pascal Arbez in 1976) is an electronic music artist. He was born in France and is of Italian descent. His first singles were released in 1996 and 1997, but were confined to the underground electronic music scene. He decided to make music when he heard Daft Punk's Rollin' & Scratchin' in a club in his hometown Dijon, France. He became good friends with Michel Amato, also known as The Hacker, whom he met in the Rex, the ""techno temple"" of Laurent Garnier. https://www.last.fm/music/Vitalic",731183,14741042,Boys Noize
Skrillex,"Skrillex is the pseudonym used by Los Angeles, California, USA musician Sonny Moore to differentiate his electronic solo work from his work with From First to Last and his other solo projects. 

As Skrillex, Moore is an electronic DJ and producer boasting a musical style that incorporates electro house, fidget house, and brostep. Moore began producing and performing under the alias Skrillex at clubs in the Los Angeles area in 2008.  

Throughout 2010, Skrillex became a bigger and bigger part of Moore’s life. https://www.last.fm/music/Skrillex",2863807,101926733,Dog Blood
Eskorzo,"Eskorzo is a Spanish eight-piece Latin ska band formed in 1996. Their first recording is a demo called Rock de Libertad. An album called Si Las Cabras Pueden, Nosotros Tambien followed. Eskorzo perform a fusion of reggae, ska, Latin rock, and punk, and their lyrics are often based on controversial social issues such as racism and war. Their debut album, called Bullanga was released in 1999 on Crysalis EMI. The band played along with King Changó, as well as opened for Mexican Molotov around Spain. https://www.last.fm/music/Eskorzo",30587,274675,La Kinky Beat
Bicep,"Belfast-born/London-based duo Bicep (Matt McBriar & Andy Ferguson) are childhood friends who bonded over a shared love of dance music. In the decades since first meeting, aged 8, Bicep have become one of the world’s most avidly appreciated curators & producers of electronic music.

Recently hailed by the BBC as “one of the biggest names in UK dance”, Bicep continue to cement themselves as one of the defining global electronic acts of our times. https://www.last.fm/music/Bicep",586553,12704000,Overmono
Shouse,"Shouse are an Australian-based electronic music duo consisting of Jack Madin and New Zealander Ed Service. They are best known for their 2017 single ""Love Tonight"", which experienced renewed popularity in 2021 after various remixes of it were used in TikTok trends. https://www.last.fm/music/Shouse",504060,5275631,Kungs
Emrod,"Chill /elctronica - duo from Antigone, Montpellier, France.

https://www.facebook.com/Emrodmusic
https://www.instagram.com/emrodmusic/ https://www.last.fm/music/Emrod",53126,402204,Traf
Pascal Letoublon,"Before even releasing an LP, Pascal Letoublon had already left his mark on history – he is a young producer, who, almost overnight and thanks to TikTok’s viral pull, hoisted himself to the top of the Asian charts, was programmed in clubs throughout China and caught the eye of European record labels. All this down to a track visibly packed with universal charm, released in 2017, on a small independent label (Suprafive Records), whose vocal version has just been licenced to Virgin Germany https://www.last.fm/music/Pascal+Letoublon",123666,1255406,Marc Philippe
Bob Sinclar,"Bob Sinclar, born in 1969, real name Christophe Le Friant (French pronunciation : kʁistɔf lə fʁijɑ̃), is a French record producer, DJ, remixer and co-owner (with DJ Yellow) of the label Yellow Productions. Sinclar started DJing in 1986, when he was just 18 years old, specializing in funk and hip-hop music, with the name Chris The French Kiss. His first club hit was Gym & Tonic, a track produced by Thomas Bangalter of Daft Punk, featuring unauthorized vocals taken from a Jane Fonda fitness tape. https://www.last.fm/music/Bob+Sinclar",1522789,15926189,Martin Solveig
Jude & Frank,"Born and raised in Rome, Jude & Frank has become in the last years one of the most important project in the international house music scene. 

Hit singles like “La Luna”, “La Vereda (Cada Vez)”, “Sun Is Shining” and “Quem Vai Querer” has been released on top labels as Spinnin’ Records, Armada Music, Big Beat (Atlantic Records) and Sony Music also supported by world-class artists such as Pete Tong, David Guetta, Bob Sinclar, Martin Garrix, Jax Jones, Todd Terry, Erick Morillo, Kryder and many more.  https://www.last.fm/music/Jude+&+Frank",42762,177084,Tom & Collins
David Tort,"David Tort is a DJ / producer, from Spain.

Sites: Discogs. https://www.last.fm/music/David+Tort",48152,187763,Prok & Fitch
DJ Miko,"1- DJ Miko is an Italian dance act consisting of Louise Gard, Max Artusi, and Ricky Stecca.  
The project was produced by Mauro Farina and Massimo Artusi.
DJ Miko released the singles ""What's Up"", ""My Sharona"", ""Rhythm"", ""Sky High"" and the album ""The Last Millenium"". 

2- DJ Miko is Avraham Gindos. Psy-Trance DJ and producer from Israel active on the scene since 1989. Primarily known for his role in Goa Trance project California Sunshine.




 https://www.last.fm/music/DJ+Miko",27190,120910,E-Rotic
Machine Girl,"Machine Girl is an American electronic music project created in 2012 by Matt Stephenson on Long Island, New York. In 2015, the project became a duo, with Stephenson recruiting percussionist Sean Kelly to play live drums. The project derives its name from the 2008 Japanese film The Machine Girl and has occasionally incorporated samples from the film into their work, notably in their 2014 debut studio album, WLFGRL.

Machine Girl, as described by its creator, is a genre-defying musical project characterized as ""fucked-up electronic punk"". https://www.last.fm/music/Machine+Girl",970590,63044218,Prolaps
Gorillaz,"Gorillaz is a British virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett. The band currently consists of four animated members: Murdoc Niccals (bass guitar) who formed the band, 2-D (lead vocals, keyboards), Noodle (guitar, vocals) and Russel Hobbs (drums and percussion). Their fictional universe is explored through animated music videos, interviews and animated shorts. In reality, Albarn is the only permanent musical contributor and often collaborates with other musicians. https://www.last.fm/music/Gorillaz",6595972,474760371,"The Good, the Bad & the Queen"
Mandragora,"There are several artists named Mandragora:

1) A mexican psytrance DJ and producer.

2) A space-rock/progressive rock british band.

3) A Heavy Metal brazilian band. 

4) A portuguese folk band.

5) A Lithuanian melodic death metal band. https://www.last.fm/music/Mandragora",131220,2347808,GRAViiTY
Don Diablo,"To step inside the mind of Don Diablo is to step inside the future. The Dutch visionary demonstrates a total immersion in his craft that has seen him challenge perceptions and break down creative boundaries with his numerous endeavours across the music, art, fashion and tech realms. Displaying an almost prophetic ability to tap into future trends, the forward-thinking Digital Artist refuses to be pigeonholed by just one avenue of his illustrious career. https://www.last.fm/music/Don+Diablo",663149,10320287,Oliver Heldens
ESPRIT 空想,"George Clanton (also known by the monikers Mirror Kisses, ESPRIT 空想, and Kid's Garden) is an American electronic musician and singer-songwriter known for his involvement with the vaporwave music scene. He established his independent record label 100% Electronica in 2015, and in 2019 launched the first vaporwave music festival, 100% ElectroniCON. 

George Clanton was born in Ridgeway, Virginia. He grew up going to punk rock shows. His career began when he accidentally downloaded a misnamed Brian Jonestown Massacre song https://www.last.fm/music/ESPRIT+%E7%A9%BA%E6%83%B3",339478,5369440,George Clanton
Nightcore,"Nightcore consists of Thomas S. Nilsen and Steffen Ojala Søderholm from Norway, Alta. Mixing techno/dance music into faster and more happier sounds, their name, 'Nightcore', means that they are the core of the night, so listeners will dance all night long.
They first started making music with Dance eJay 2/3 for a school project; they got a 4+ on our first single, and 6 on the whole album, called 'Energized'. 
After this, they understood that they https://www.last.fm/music/Nightcore",311638,9735592,Jaegershu
J Hus,"J Hus (born Momodou Jallow on May 27 1995, in Stratford, London, United Kingdom) is a British rapper and singer who has been credited with pioneering the genre of afroswing.

He gained popularity in 2015 following the release of his song ""Dem Boy Paigon"". J Hus released ""Did You See"" on March 2, 2017, quickly becoming his biggest song peaking at number 9 on the UK Singles Chart and eventually being certified platinum. On 12 May 2017, J Hus released his debut album, Common Sense, peaking at number 6 on the UK Albums Chart. https://www.last.fm/music/J+Hus",447535,12252904,MOSTACK
Ahrix,Ahrix is a 25 year old Producer from The Netherlands. https://www.last.fm/music/Ahrix,69659,604599,Tobu
Future,"Nayvadius DeMun Cash (born Nayvadius DeMun Wilburn), better known by his stage name Future, is an American rapper, singer, songwriter, and record producer from the Kirkwood neighborhood of Atlanta, Georgia.

After releasing a series of moderately successful mixtapes between 2010 and 2011, Future signed a major label deal with Epic Records and fellow American rapper Rocko's A1 Recordings, which helped launch his label imprint Freebandz. Future subsequently began working on his debut studio album https://www.last.fm/music/Future",3053266,422033962,Young Thug
Bonobo,"Simon Green, known by his stage name Bonobo, is a British musician, producer and DJ based in Los Angeles.

Bonobo's first album - 2000's Animal Magic - was released via Tru Thoughts before being picked up by Ninja Tune. It announced him as a serious talent; able to bring a musician's edge to electronic music, with all the freedom that skill allowed. His subsequent albums for Ninja, Dial 'M' for Monkey and Days to Come, developed his sensibility, won him fans across the globe https://www.last.fm/music/Bonobo",2038351,110510830,The Funky Lowlives
Royal Gigolos,"Royal Gigolos is a band formed by the German musicians Melanie, Jay and Tyson in 2003. Their biggest hits include Tell It To My Heart, California Dreaming, Self Control, No Milk Today and Happy Song. https://www.last.fm/music/Royal+Gigolos",182239,1029274,Global Deejays
Thievery Corporation,"Thievery Corporation is a Washington, D.C.-based recording artist and DJ duo consisting of Rob Garza and Eric Hilton and their supporting artists. Their music style mixes elements of dub, acid jazz, Indian classical and Brazilian (such as bossa nova) with a lounge aesthetic.

Thievery Corporation is on the Eighteenth Street Lounge record label named after the DC club owned by Eric Hilton, but several of their singles and EP's appear on the 4AD and !K7 labels. https://www.last.fm/music/Thievery+Corporation",1862014,62863698,A Forest Mighty Black
Jesse Rose,"Jesse Rose (aka Content), released two original albums in 2006, the first was ""More Than One"" (Front Room), featuring collaborations with underground dance music talents, including: David Taylor (aka Solid Groove), Henrik Schwarz, Dominic Stanton (aka Domu), Jamie Odell (aka Audiomontage and Jimpster), Rob Mello, Chris Duckenfield (aka Duckbeats), Trevor Loveys and Jamie Anderson. His second album ""What Do You Do If you Don't?"" (Dubsided), is an hour mix of Jesse's original tracks, including: ""Asided"" and the hit ""You're All Over My Head"". https://www.last.fm/music/Jesse+Rose",80639,479968,Renaissance Man
Drunkenmunky,"Drunkenmunky is the alias of the production team of Koen Groeneveld, Addy van der Zwan and Jan Voermans from The Netherlands. The trio uses more than 35 aliases for their recordings, The Klubbheads being their most notorious one.

In 2003 they scored a Billboard Dance Top 40 hit with ""E""(which samples Eminem's ""Without Me"") under the Drunkenmunky name. In other countries, it was released under the title ""E (As In Evangeline)"" but the track didn't use the ""Without Me"" sampling. https://www.last.fm/music/Drunkenmunky",96323,482838,Pakito
Shade K,https://www.last.fm/music/Shade+K,6090,56642,Perfect Kombo
SKAN,"SKAN is a French music producer of genres such as Trap, Reggaeton, House and Future Bass. His biggest hit is No Glory in collaboration with Krale, M.I.M.E and Drama B, released on June 12, 2017.

Inspired by his dad who was a pianist, Skan’s music journey began at a young age, hoping to emulate his father. When he discovered the magic of music and how it can influence people, everything changed as it sparked a burning passion for him pursue a career as a music producer.  https://www.last.fm/music/SKAN",97456,1309158,EGZOD
Shapeshifters,"There is more than one artist with the name Shapeshifters:

1) A former British house music group consisting of producers Simon Marlin and Max Reich, featuring female vocalist Cookie. They first became popular in 2004 with their debut single ""Lola's Theme"". After several months on various high profile DJ playlists, the song was picked up by Positiva Records and topped the UK Charts and became a Top 10 hit across Europe. The following year they released ""Back to Basics"", a Top 10 hit in the United Kingdom. https://www.last.fm/music/Shapeshifters",263543,1824408,Junior Jack
Jkriv,"Real name is Jason Kriveloff. Former bassist of deep house band ""Tortured Soul"" from New York. He is now a DJ and a producer. He has his own record label called ""Deep & Disco"" https://www.last.fm/music/Jkriv",21917,95505,Ron Trent
The Cancel,"The Cancel is an instrumental hip-hop / jazz hop project from Lviv, Ukraine that formed in 2011. Members have included Andrey Zelenskiy and, previously, Dmitry Fedosov. Its fandom is Cancel Culture.

Discography as of 2015:
2011 - Diversity
2011 - Reply from Space
2013 - Daybreak
2013 - Night Light
2014 - BEATS FOR SALE
2014 - Criminal
2015 - No Way to Stay https://www.last.fm/music/The+Cancel",141351,1841382,Brock Berrigan
Ministry Of Funk,Alias of DJ Marcello Castelli https://www.last.fm/music/Ministry+Of+Funk,22889,104842,Defcon 5
L. Doblado,https://www.last.fm/music/L.+Doblado,21475,108028,david hohme
Xinobi,Xinobi is a part of a generation that grew up within the music-blog eruption fueled by Do It Yourself ethics. His sophomore album On The Quiet was up-fronted by the hits Far Away Place and Searching For (a collaboration with Lazarusman). A dance floor-focused story about the transition of many electronic musicians from punk rock & skateboarding into house music and about how dance-music can be a field for social conscious awareness. In the following years https://www.last.fm/music/Xinobi,181700,1248215,Eli & Fur
Mister Gym,https://www.last.fm/music/Mister+Gym,8211,41867,DJ Sequenza
Parra for Cuva,"Under the Berlin-based label Lenient Tales as well as Cologne-based minimal techno record label Traum Schallplatten, Parra for Cuva consists of German artist Nicolas Demuth. 

Born in Cologne in 1991, Demuth studied audio design at the University of Popular Arts in Berlin. He lives and works in Berlin and has produced electronic music under the name Parra for Cuva for two years now.

He entered electronic music primarily through playing the piano https://www.last.fm/music/Parra+for+Cuva",371617,4343861,Catching Flies
COEO,"German duo Coeo have been making waves recently on the underground House scene. With releases on esteemed labels such as Sccucci Manucci, Toy Tonics, Let's Play House, Seven Music or Dabit Records they are an act to watch over 2014! 

The DJ and production duo consists of Florian Vietz and Andreas Höpfl, 2 guys, who met during high school and shared a mutual love for hip hop and soul music. Some years later they fell in love with house music and spent more and more nights in their studio in Munich to write their own songs. https://www.last.fm/music/COEO",126354,1006518,Crazy P
BeatGhosts,https://www.last.fm/music/BeatGhosts,1776,8136,New Generation SK
Nuages,"1. Instrumental electronic, downtempo, lo-fi genre of music from the United Kingdom. https://soundcloud.com/nnuages

2. Nuages was a collaboration between Didier Delesalle (better known as Shazz) and Ludovic Navarre (most famous as St. Germain). They made ""Blanc"" EP in 1994 (F Communications) consisting mostly of deep house music with tracks like ""No Work Today"" and ""Sfumato"".  https://www.last.fm/music/Nuages",116651,1367163,Ark Patrol
Macky Gee,"Hailing from Medway, Kent whose heavy and rolling sound has been entertaining the masses for a number of years. Having started DJing six years ago, he soon found the natural progression into producing and has been making experimental tracks for around four years. Completely self taught, his determination and creativity was reinforced in 2006 after a master class with Erb N Dub (Hashtag) where he was taught different levels of DJing and producing thus improving his sound. https://www.last.fm/music/Macky+Gee",171666,3031511,Tsuki
Chase & Status,"Chase & Status are an electronic production duo from London consisting of Saul ""Chase"" Milton and Will ""Status"" Kennard.

Chase & Status have had three number one tracks on the UK Dance Chart in 2007 with the double A-side ""Hurt You""/""Sell Me Your Soul"", and in 2008 with ""Take Me Away""/""Judgement (Informer)"". On 5 October 2008, they reached number 70 on the national singles chart and number one on the UK Dance Chart again with their single ""Pieces"" featuring vocals by Plan B. https://www.last.fm/music/Chase+&+Status",1137881,29336562,Wilkinson
Tchami,"Tchami is one of the world's most popular DJs, and alongside his friends and partners DJ Snake, Malaa and Mercer, he's helping to push dance music forward via the future house movement, a collection of artists seeking to honor the history of dance music by continually finding innovative ways to add new sounds and textures while staying true to the core tenets of the house aesthetic.

Born Martin Bresso in Paris, France, Tchami was a regular fixture at the record store Samad https://www.last.fm/music/Tchami",353018,4500039,Oliver Heldens
Chemical Surf,https://www.last.fm/music/Chemical+Surf,93776,759177,KVSH
Vestron Vulture,"Hometown; MTY
About; 666
Current Location; MTY
Press contact; vestronvulture@gmail.com https://www.last.fm/music/Vestron+Vulture",374739,5281605,closed tear
Dirty Palm,"Mikus Martin, known as Dirty Palm is a Hungarian DJ & producer from Salgótarján. Earlier h made bounce tracks on labels like Club Cartel, Banzai and Panda Funk. Nowdays he makes mostly free music on Nik Cooper. 
 https://www.last.fm/music/Dirty+Palm",104290,1170358,Clarx
Eelke Kleijn,"Ever since his 2003 landing in the world of electronic music, Eelke Kleijn has been a name synonymous with quality. Fans and enthusiasts worldwide have come to love the sympathetic Dutchman for his affectionate sound, unique productions and energetic DJ sets, which have taken him from sun-soaked Mexico to Russia, and almost everywhere in between. And it's not just the fans that are moved by his work; avid followers include internationally renowned DJs such as Hernán Cattáneo https://www.last.fm/music/Eelke+Kleijn",215230,1826831,Yotto
Stormzy,"Michael Omari (born 26 July 1993), better known by his stage name Stormzy, is a British rapper, singer and songwriter. In 2014, he gained attention on the UK underground music scene through his Wicked Skengman series of freestyles over classic grime beats. He won Best Grime Act at the 2014 and 2015 MOBO Awards and was named as an artist to look out for in the BBC's influential Sound of 2015 list. His most successful song to date is the BPI gold-selling ""Shut Up"", which was initially released as a freestyle on YouTube. https://www.last.fm/music/Stormzy",779933,22981366,Dave
Kraftwerk,"Kraftwerk (""power plant"" in English) are an electronic band founded in 1970 in Düsseldorf, Germany. They pioneered electronic music in the 70s and are considered the most important and influential band of their genre, often described as ""the godfathers of electronic music"". Kraftwerk's sound is minimalistic and strictly electronic; it combines driving, repetitive rhythms with catchy melodies and vocals usually sung through a vocoder. The current line-up consists of Ralf Hütter (the only original member) https://www.last.fm/music/Kraftwerk",1365292,41192766,Karl Bartos
Populous,"With his debut album “Quipo”, Italian producer Populous already showed that he drew his very own conclusions from the jazzed-up beats and positive vibes of the Native-Tongues movement around A Tribe Called Quest and De La Soul. Whereas “Quipo” still displayed a mildly bulky attraction influenced by abstract electronica, “Queue For Love” now has a much more homogeneous atmosphere and a warmth fed by carefully selected samples from Soul-, Jazz- and Soundtrack records from the late 60s and early 70s. https://www.last.fm/music/Populous",165232,1455002,Islandman
Drake,"Aubrey ""Drake"" Graham (born October 24, 1986) is an Canadian rapper, singer, songwriter, record producer, actor, and businessman. Drake was an actor on the teen drama television series Degrassi: The Next Generation in the early 2000s. Intent on pursuing a career in music, he left the series in 2007 after releasing his debut mixtape, Room for Improvement. He released two further independent projects, Comeback Season and So Far Gone, before signing to Lil Wayne's Young Money Entertainment in June 2009. https://www.last.fm/music/Drake",6484547,1054398242,PARTYNEXTDOOR
Terrence Parker,"Awesome house DJ/producer out of Detroit.  Using a modified telephone instead of headphones is his signature.
Records as Seven Grand Housing Authority, Jovan Blade and Younger Than Park (with Claude Young) amongst a host of other pseudonyms. Classic track 'The Question' has been featured on many compilations. https://www.last.fm/music/Terrence+Parker",72159,436604,Floorplan
Gryffin,"Over the past couple of years, NYC-based multi-instrumentalist and producer, Gryffin aka Dan Griffith, has cemented his path to the international spotlight with his melody-rich style of house music that fuses indie with dance in tasteful fashion. Known for some of the biggest remixes from the last year, such as his remix of Tove Lo’s “Talking Body,” Maroon 5’s “Animals,” Years & Years’ “Desire,” and more, this gifted up-and-comer has already seen a significant amount of success https://www.last.fm/music/Gryffin",684494,15816339,Illenium
Four Tet,"Four Tet is the name used by Kieran Hebden (born 1977 in Putney, London, UK) for his experimental  electronic music-oriented solo efforts, to differentiate from his work with post-rock band Fridge.

Hebden's solo work typically utilises samples lifted from various sources including hip-hop, electronica, techno, jazz, and folk mixed with his own guitar playing. Four Tet shares some stylistic similarities with other musicians, such as Prefuse 73, who use computer editing techniques that give the music a staccato, cut-up feel. https://www.last.fm/music/Four+Tet",1305645,47312202,Burial & Four Tet
J Balvin,"José Álvaro Osorio Balvin (born May 7, 1985), known professionally as J Balvin, is a Colombian reggaeton singer. Balvin was born in Medellín, Colombia, where he became interested in music at a young age. At age 17, he moved to the United States and learned English, which influenced the music he would make later. He then returned to Medellín and gained local popularity by performing at various clubs around the city.

Though his music is primarily reggaeton https://www.last.fm/music/J+Balvin",1642512,58201226,Maluma
Jaja,"There is more than one artist with this name;

1. Jaja also known as Jana Rockstroh — German ambient/chillout artist and co-founder of CYAN Recordings.

""Jaja stands for live electronics which means that nearly everything is played and arranged live. Open to all music styles she is deep into techno and sounds from outer space. Her music is a balance between deep emotional epics and joyful sounds.""

Tracks by this artist: Beyond, All, Oxygen, Cosmos, Upon, Arise, Medeor, Revelation, Moonlit, Unrelated https://www.last.fm/music/Jaja",34586,308156,Viken Arman
Chromatics,"Chromatics was an electronic band based in Portland, Oregon, United States. The band consisted of  Ruth Radelet (vocals, guitar, synthesizer),  Adam Miller (guitar), Johnny Jewel (synthesizer, production) and Nat Walker (drums, synthesizer). The band shifted from a post-punk sound to one inspired by 1980s synthpop and Italo disco around 2006. The band's most acclaimed albums are ""Night Drive"" (2007) and ""Kill for Love"" (2012).

The would-be next album https://www.last.fm/music/Chromatics",1108028,24962655,Glass Candy
Anja Schneider,"Anja Schneider is the mobilee records founder, broadcaster, internationally renowned DJ and producer once labeled a ""perpetual motion machine"", and one of the hardest working individuals in the business.

From her beginnings in radio to the ‘Hi Five’ anniversary year of mobilee, her ascension through the ranks has been fuelled by her strong work ethic, sharp tastemaker instinct, charming personality and innate musicality. Starting out as a producer for KissFM, Anja Schneider became a radio persona in her own right in 2000 for Fritz Radio. https://www.last.fm/music/Anja+Schneider",153069,1018070,Kollektiv Turmstrasse
